94.0,37.5,208.25,94.0,37.5,0.0,-7.37,-3.02,-0.0,70
94.5,37.5,210.25,94.0,37.5,0.0,-7.37,-3.02,-0.0,71
96.0,37.0,210.5,96.0,37.0,0.0,-7.42,-2.94,-0.0,72
98.0,35.0,211.75,96.0,37.0,0.0,-7.42,-2.94,-0.0,73
100.5,35.0,214.0,100.5,35.0,0.0,-7.67,-2.76,-0.0,74
102.5,33.5,214.75,100.5,35.0,0.0,-7.67,-2.76,-0.0,75
104.25,31.5,214.0,104.25,31.5,0.0,-7.88,-2.47,-0.0,76
106.75,29.5,214.25,104.25,31.5,0.0,-7.88,-2.47,-0.0,77
108.5,27.5,214.0,108.5,27.5,0.0,-8.14,-2.15,-0.0,78
110.25,25.0,213.25,108.5,27.5,0.0,-8.14,-2.15,-0.0,79
112.25,23.5,213.5,112.25,23.5,0.0,-8.37,-1.84,-0.0,80
113.75,21.5,213.0,112.25,23.5,0.0,-8.37,-1.84,-0.0,81
115.5,20.5,212.25,115.5,20.5,0.0,-8.56,-1.61,-0.0,82
116.5,19.0,212.25,115.5,20.5,0.0,-8.56,-1.61,-0.0,83
118.25,17.5,212.0,118.25,17.5,0.0,-8.73,-1.38,-0.0,84
120.75,14.0,211.75,118.25,17.5,0.0,-8.73,-1.38,-0.0,85
123.5,12.0,211.25,123.5,12.0,0.0,-9.09,-0.98,-0.0,86
125.5,8.5,210.25,123.5,12.0,0.0,-9.09,-0.98,-0.0,87
128.25,6.5,209.25,128.25,6.5,0.0,-9.42,-0.57,-0.0,88
130.0,4.5,209.25,128.25,6.5,0.0,-9.42,-0.57,-0.0,89
133.25,0.5,209.0,133.25,0.5,0.0,-9.76,-0.14,-0.0,90
135.5,1.0,208.25,133.25,0.5,0.0,-9.76,-0.14,-0.0,91
139.0,4.0,208.25,139.0,4.0,0.0,-10.16,-0.4,-0.0,92
142.0,7.0,208.25,139.0,4.0,0.0,-10.16,-0.4,-0.0,93
145.25,10.5,207.5,145.25,10.5,0.0,-10.6,-0.87,-0.0,94
147.5,13.0,206.5,145.25,10.5,0.0,-10.6,-0.87,-0.0,95
150.5,16.5,205.75,150.5,16.5,0.0,-10.96,-1.31,-0.0,96
153.5,19.0,205.25,150.5,16.5,0.0,-10.96,-1.31,-0.0,97
156.5,22.0,206.0,156.5,22.0,0.0,-11.38,-1.72,-0.0,98
159.0,24.0,205.75,156.5,22.0,0.0,-11.38,-1.72,-0.0,99
161.75,26.5,205.75,161.75,26.5,0.0,-11.75,-2.05,-0.0,100
164.25,29.0,205.75,161.75,26.5,0.0,-11.75,-2.05,-0.0,101
166.0,30.5,205.75,166.0,30.5,0.0,-12.05,-2.34,-0.0,102
169.5,34.5,204.25,166.0,30.5,0.0,-12.05,-2.34,-0.0,103
170.75,36.5,202.75,170.75,36.5,0.0,-12.38,-2.78,-0.0,104
171.5,38.5,201.5,170.75,36.5,0.0,-12.38,-2.78,-0.0,105
172.5,41.0,198.75,172.5,41.0,0.0,-12.5,-3.1,-0.0,106
173.25,43.5,195.75,172.5,41.0,0.0,-12.5,-3.1,-0.0,107
173.0,44.5,192.5,173.0,44.5,0.0,-12.53,-3.36,-0.0,108
171.5,46.0,189.25,173.0,44.5,0.0,-12.53,-3.36,-0.0,109
170.0,47.5,185.25,170.0,47.5,0.0,-12.31,-3.57,-0.0,110
169.5,48.0,181.25,170.0,47.5,0.0,-12.31,-3.57,-0.0,111
167.75,50.0,176.75,167.75,50.0,0.0,-12.14,-3.75,-0.0,112
166.75,51.0,173.0,167.75,50.0,0.0,-12.14,-3.75,-0.0,113
167.25,53.5,169.5,167.25,53.5,0.0,-12.1,-4.0,-0.0,114
166.25,56.0,165.0,167.25,53.5,0.0,-12.1,-4.0,-0.0,115
166.0,57.0,161.25,166.0,57.0,0.0,-12.0,-4.26,-0.0,116
163.25,58.0,156.25,166.0,57.0,0.0,-12.0,-4.26,-0.0,117
161.5,59.5,150.25,161.5,59.5,0.0,-11.67,-4.43,-0.0,118
158.75,60.5,144.0,161.5,59.5,0.0,-11.67,-4.43,-0.0,119
156.75,62.5,138.0,156.75,62.5,0.0,-11.32,-4.65,-0.0,120
154.5,64.0,132.25,156.75,62.5,0.0,-11.32,-4.65,-0.0,121
149.75,67.0,120.5,149.75,67.0,0.0,-10.81,-4.97,-0.0,122
146.75,67.5,115.25,149.75,67.0,0.0,-10.81,-4.97,-0.0,123
143.75,68.5,108.75,143.75,68.5,0.0,-10.37,-5.07,-0.0,124
141.25,70.0,103.0,143.75,68.5,0.0,-10.37,-5.07,-0.0,125
139.25,70.5,97.0,139.25,70.5,0.0,-10.05,-5.21,-0.0,126
136.25,72.0,92.0,139.25,70.5,0.0,-10.05,-5.21,-0.0,127
134.75,73.0,86.5,134.75,73.0,0.0,-9.72,-5.39,-0.0,128
132.0,74.0,81.75,134.75,73.0,0.0,-9.72,-5.39,-0.0,129
130.0,75.0,76.75,130.0,75.0,0.0,-9.37,-5.53,-0.0,130
128.0,75.0,72.5,130.0,75.0,0.0,-9.37,-5.53,-0.0,131
126.25,75.5,69.0,126.25,75.5,0.0,-9.1,-5.57,-0.0,132
123.75,76.0,64.75,126.25,75.5,0.0,-9.1,-5.57,-0.0,133
